Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
0,2013,12,4,0,0,0.97147,0.97224,0.96004,0.96428,83410,39.37648994,-0.00437376,-0.00512582,32.51589464,32.51589464
1,2013,12,5,0,0,0.9643,0.96602,0.9602,0.96507,76314,41.54672407,-0.00432094,-0.00510224,49.58943235,49.58943235
2,2013,12,6,0,0,0.96509,0.97026,0.95774,0.96808,68125,49.57141773,-0.00399021,-0.00496508,63.19261214,63.19261214
3,2013,12,8,0,0,0.97069,0.97165,0.96979,0.96988,2118,53.97925962,-0.00354202,-0.00473048,78.03121248,78.03121248
4,2013,12,9,0,0,0.96988,0.97216,0.96486,0.96659,60429,45.49880028,-0.00341296,-0.0044441,74.73363775,74.73363775
5,2013,12,10,0,0,0.96659,0.97252,0.96551,0.96979,63520,53.74497033,-0.00301768,-0.00413275,78.1201849,78.1201849
6,2013,12,11,0,0,0.96977,0.9703,0.9564,0.95805,64356,32.62003007,-0.00361013,-0.00393674,72.33115468,72.33115468
7,2013,12,12,0,0,0.9581,0.96125,0.94872,0.94953,78211,24.47491616,-0.00471281,-0.00391974,65.02107164,65.02107164
8,2013,12,13,0,0,0.94952,0.95346,0.94764,0.94885,56975,23.91879651,-0.00557727,-0.00406198,49.87745098,49.87745098
9,2013,12,15,0,0,0.94897,0.94918,0.94742,0.94764,1202,22.84135872,-0.00628752,-0.00427462,37.47609943,37.47609943
10,2013,12,16,0,0,0.94763,0.94929,0.9443,0.94689,54097,22.12078872,-0.00683217,-0.00455364,33.60938578,33.60938578
11,2013,12,17,0,0,0.94689,0.94844,0.94211,0.94565,58876,20.85194532,-0.00727994,-0.00491917,23.02100162,23.02100162
12,2013,12,18,0,0,0.94561,0.9507,0.94228,0.9478,72387,29.08072221,-0.00737628,-0.0053452,44.76908577,44.76908577
13,2013,12,19,0,0,0.94776,0.95137,0.94333,0.94558,61241,25.84392946,-0.0075448,-0.00580429,70.54125998,70.54125998
14,2013,12,20,0,0,0.94561,0.9543,0.9449,0.94837,56157,36.24796395,-0.00736829,-0.00628769,92.39940387,92.39940387
15,2013,12,22,0,0,0.94945,0.94965,0.94875,0.94937,973,39.78087038,-0.00706625,-0.0066717,82.82566429,82.82566429
16,2013,12,23,0,0,0.9494,0.95145,0.9454,0.94809,43071,36.74041333,-0.00685119,-0.0069093,72.63556116,72.63556116
17,2013,12,24,0,0,0.94808,0.94901,0.94558,0.94735,23054,34.93927519,-0.00666366,-0.00703001,64.17910448,64.17910448
18,2013,12,26,0,0,0.94559,0.94766,0.94285,0.94607,19007,31.79390414,-0.00654289,-0.00705838,54.40126883,54.40126883
