Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
0,2013,12,4,0,0,0.82537,0.82651,0.81231,0.81482,75315,20.78099974,-0.01013144,-0.00885621,32.51589464,32.51589464
1,2013,12,5,0,0,0.81481,0.81639,0.81014,0.8127,73392,19.25832628,-0.01072659,-0.00935217,49.58943235,49.58943235
2,2013,12,6,0,0,0.81269,0.8149,0.80634,0.8117,61045,18.51187465,-0.0111504,-0.00976898,63.19261214,63.19261214
3,2013,12,8,0,0,0.81271,0.8137,0.81206,0.81216,2370,20.17238245,-0.01131869,-0.01009598,78.03121248,78.03121248
4,2013,12,9,0,0,0.81218,0.81426,0.8078,0.80892,57607,17.2790381,-0.01158001,-0.01035661,74.73363775,74.73363775
5,2013,12,10,0,0,0.80892,0.81292,0.80798,0.81116,62452,25.85662416,-0.01147409,-0.0105573,78.1201849,78.1201849
6,2013,12,11,0,0,0.81115,0.81253,0.80062,0.80204,61203,17.32388579,-0.01198787,-0.01081138,72.33115468,72.33115468
7,2013,12,12,0,0,0.80208,0.80512,0.79196,0.79382,82063,12.86100503,-0.01290952,-0.01119099,65.02107164,65.02107164
8,2013,12,13,0,0,0.79368,0.7979,0.7931,0.79696,59586,21.83502043,-0.013234,-0.01161251,49.87745098,49.87745098
9,2013,12,15,0,0,0.79728,0.79728,0.79535,0.79666,1600,21.58721587,-0.01336135,-0.01197139,37.47609943,37.47609943
10,2013,12,16,0,0,0.79662,0.79668,0.79039,0.79299,59464,18.5780423,-0.01360161,-0.01229084,33.60938578,33.60938578
11,2013,12,17,0,0,0.79299,0.79486,0.78597,0.78913,64075,15.86445503,-0.01394277,-0.0126011,23.02100162,23.02100162
12,2013,12,18,0,0,0.78915,0.79308,0.78383,0.79085,75446,21.80226063,-0.01391396,-0.01288946,44.76908577,44.76908577
13,2013,12,19,0,0,0.79085,0.79645,0.79009,0.7957,65834,36.53657828,-0.01334593,-0.01308568,70.54125998,70.54125998
14,2013,12,20,0,0,0.7957,0.79981,0.79505,0.79871,59260,44.15541158,-0.01250869,-0.01320063,92.39940387,92.39940387
15,2013,12,22,0,0,0.7995,0.79972,0.79847,0.79878,1405,44.33671756,-0.0117046,-0.01316916,82.82566429,82.82566429
16,2013,12,23,0,0,0.79878,0.80136,0.79713,0.7979,45816,42.32149303,-0.01101143,-0.01295826,72.63556116,72.63556116
17,2013,12,24,0,0,0.7979,0.80018,0.7964,0.79948,24854,47.33564907,-0.01021682,-0.01262302,64.17910448,64.17910448
18,2013,12,26,0,0,0.7967,0.79795,0.79444,0.7962,24181,39.10272038,-0.00973948,-0.01222059,54.40126883,54.40126883
19,2013,12,27,0,0,0.79611,0.79666,0.7836,0.79022,48861,28.54322458,-0.00973155,-0.01179058,30.32207384,30.32207384
20,2013,12,29,0,0,0.7893,0.7893,0.7874,0.78893,2280,26.72679562,-0.00971733,-0.01132109,17.72068511,17.72068511
21,2013,12,30,0,0,0.78897,0.79155,0.78786,0.7913,42897,35.52175818,-0.0094064,-0.01082025,9.52380952,9.52380952
22,2013,12,31,0,0,0.79128,0.79729,0.79005,0.79612,27202,49.81442314,-0.00867109,-0.01030082,15.94296824,15.94296824
23,2014,1,2,0,0,0.79575,0.80586,0.79399,0.80068,62549,59.67931853,-0.00763242,-0.00975901,28.14417178,28.14417178
24,2014,1,3,0,0,0.8007,0.81363,0.79955,0.80981,64639,72.36724143,-0.00600335,-0.00912554,42.95190713,42.95190713
25,2014,1,5,0,0,0.81025,0.81139,0.80894,0.81138,1896,74.00811851,-0.00453336,-0.00840576,37.81942078,37.81942078
26,2014,1,6,0,0,0.81139,0.81304,0.80788,0.81043,63992,71.03051075,-0.00340577,-0.00764897,24.24698795,24.24698795
27,2014,1,7,0,0,0.81043,0.81176,0.8069,0.81071,66037,71.42582551,-0.00246119,-0.00684027,10.10174419,10.10174419
