Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
0,2013,12,4,0,0,1.10834,1.10923,1.10002,1.10007,59480,15.05262262,-0.00732651,-0.00633923,32.51589464,32.51589464
1,2013,12,5,0,0,1.10007,1.10558,1.09926,1.10278,53866,24.42708722,-0.00773378,-0.00653121,49.58943235,49.58943235
2,2013,12,6,0,0,1.10283,1.10696,1.09644,1.09822,51568,20.07749646,-0.00832849,-0.0067397,63.19261214,63.19261214
3,2013,12,8,0,0,1.10006,1.10068,1.09812,1.09827,3473,20.25913567,-0.00869553,-0.0069677,78.03121248,78.03121248
4,2013,12,9,0,0,1.09831,1.1006,1.09498,1.09779,44315,19.756257,-0.00892229,-0.00725404,74.73363775,74.73363775
5,2013,12,10,0,0,1.09779,1.10324,1.09659,1.10055,46036,31.21078707,-0.0087781,-0.0075628,78.1201849,78.1201849
6,2013,12,11,0,0,1.10055,1.10477,1.09286,1.09316,54008,21.5855511,-0.00915462,-0.00793106,72.33115468,72.33115468
7,2013,12,12,0,0,1.09319,1.09663,1.0816,1.08563,60118,15.79496367,-0.00994597,-0.00836772,65.02107164,65.02107164
8,2013,12,13,0,0,1.08563,1.08808,1.08269,1.0839,41762,14.73541759,-0.01059063,-0.00883066,49.87745098,49.87745098
9,2013,12,15,0,0,1.08353,1.08372,1.08251,1.08324,1424,14.30821747,-0.01102767,-0.0092419,37.47609943,37.47609943
10,2013,12,16,0,0,1.08324,1.08526,1.07997,1.08173,41050,13.28052326,-0.01136486,-0.00964535,33.60938578,33.60938578
11,2013,12,17,0,0,1.08171,1.08191,1.07463,1.07741,45253,10.71238625,-0.01184414,-0.01003598,23.02100162,23.02100162
12,2013,12,18,0,0,1.07739,1.08148,1.07251,1.07753,52473,11.26845098,-0.0120751,-0.01041149,44.76908577,44.76908577
13,2013,12,19,0,0,1.07753,1.08478,1.07656,1.08125,46997,27.58018201,-0.01182169,-0.01073364,70.54125998,70.54125998
14,2013,12,20,0,0,1.08125,1.0899,1.08025,1.08704,43494,45.70470542,-0.01102655,-0.01098347,92.39940387,92.39940387
15,2013,12,22,0,0,1.08683,1.08767,1.086,1.08632,1880,44.10337229,-0.01033535,-0.01111466,82.82566429,82.82566429
16,2013,12,23,0,0,1.08639,1.09096,1.08599,1.0895,30615,52.65145681,-0.00942236,-0.01105648,72.63556116,72.63556116
17,2013,12,24,0,0,1.08949,1.0914,1.08832,1.08973,18226,53.2546674,-0.00858133,-0.01083323,64.17910448,64.17910448
18,2013,12,26,0,0,1.08826,1.09039,1.08668,1.08879,19390,50.20497591,-0.00789959,-0.01048566,54.40126883,54.40126883
19,2013,12,27,0,0,1.0889,1.09128,1.08537,1.08601,30386,41.92172035,-0.00749721,-0.01005592,30.32207384,30.32207384
