Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
0,2013,12,4,0,0,0.91307,0.91366,0.89976,0.903,77402,24.46167293,-0.00932467,-0.00883316,32.51589464,32.51589464
1,2013,12,5,0,0,0.903,0.90761,0.9002,0.90641,72305,33.8452778,-0.00927819,-0.00907736,49.58943235,49.58943235
2,2013,12,6,0,0,0.9064,0.91164,0.89889,0.9101,62402,42.81364786,-0.00884167,-0.00918075,63.19261214,63.19261214
3,2013,12,8,0,0,0.91194,0.91257,0.91021,0.91028,3947,43.2514725,-0.00838455,-0.00913851,78.03121248,78.03121248
4,2013,12,9,0,0,0.91028,0.91282,0.90689,0.90875,61109,40.19941148,-0.00805291,-0.00899268,74.73363775,74.73363775
5,2013,12,10,0,0,0.90875,0.91657,0.90794,0.91443,62312,54.19790628,-0.0072482,-0.00874235,78.1201849,78.1201849
6,2013,12,11,0,0,0.91441,0.91513,0.90341,0.90445,63730,36.62393583,-0.00733126,-0.0085129,72.33115468,72.33115468
7,2013,12,12,0,0,0.90445,0.90809,0.89122,0.89209,78967,24.93946161,-0.00829877,-0.00840682,65.02107164,65.02107164
8,2013,12,13,0,0,0.8921,0.8968,0.89082,0.89643,53585,33.61563131,-0.008616,-0.00837514,49.87745098,49.87745098
9,2013,12,15,0,0,0.89575,0.89617,0.89463,0.89495,2412,32.13771405,-0.00888442,-0.00832622,37.47609943,37.47609943
10,2013,12,16,0,0,0.89492,0.89685,0.89198,0.89391,57848,31.01965628,-0.00907644,-0.0083038,33.60938578,33.60938578
11,2013,12,17,0,0,0.89391,0.89571,0.8881,0.89185,62842,28.71139865,-0.00928777,-0.00835337,23.02100162,23.02100162
12,2013,12,18,0,0,0.89186,0.8943,0.88197,0.8843,65415,21.78107966,-0.00994979,-0.00852728,44.76908577,44.76908577
13,2013,12,19,0,0,0.8843,0.88741,0.88218,0.88599,65077,26.41927948,-0.01022025,-0.0087681,70.54125998,70.54125998
14,2013,12,20,0,0,0.88599,0.89324,0.8854,0.89186,57114,40.67458708,-0.00984743,-0.0090569,92.39940387,92.39940387
15,2013,12,22,0,0,0.89221,0.89235,0.89156,0.89202,2199,41.03784457,-0.00943034,-0.00929013,82.82566429,82.82566429
16,2013,12,23,0,0,0.89201,0.89572,0.89178,0.89298,44271,43.46120706,-0.00891951,-0.00935911,72.63556116,72.63556116
17,2013,12,24,0,0,0.89297,0.89324,0.89051,0.89208,26552,41.59152426,-0.00848944,-0.00934504,64.17910448,64.17910448
18,2013,12,26,0,0,0.88869,0.89022,0.88747,0.88844,30142,34.57349604,-0.00834612,-0.00928523,54.40126883,54.40126883
19,2013,12,27,0,0,0.88844,0.89278,0.88612,0.88672,54106,31.63111677,-0.00827592,-0.00919629,30.32207384,30.32207384
20,2013,12,29,0,0,0.88627,0.88653,0.88446,0.88522,2632,29.11045834,-0.00824627,-0.00908056,17.72068511,17.72068511
21,2013,12,30,0,0,0.88516,0.89287,0.88322,0.8921,49703,50.30267743,-0.00758023,-0.00881728,9.52380952,9.52380952
22,2013,12,31,0,0,0.89208,0.89513,0.89103,0.89432,35001,55.32984177,-0.00679493,-0.00843669,15.94296824,15.94296824
23,2014,1,2,0,0,0.89091,0.89423,0.88421,0.89045,58368,45.88913077,-0.00641094,-0.00805486,28.14417178,28.14417178
24,2014,1,3,0,0,0.89046,0.90038,0.88841,0.89455,72360,55.31330295,-0.00570998,-0.00764148,42.95190713,42.95190713
25,2014,1,5,0,0,0.8955,0.8965,0.89462,0.89637,2875,59.01044569,-0.00495053,-0.00720048,37.81942078,37.81942078
26,2014,1,6,0,0,0.89636,0.89815,0.89343,0.89663,64835,59.56796804,-0.00427837,-0.00673259,24.24698795,24.24698795
27,2014,1,7,0,0,0.89664,0.89664,0.88927,0.8916,62573,45.57629794,-0.00410424,-0.00626127,10.10174419,10.10174419
28,2014,1,8,0,0,0.8916,0.89516,0.88831,0.8888,61762,39.5441034,-0.0041444,-0.00580221,9.49284785,9.49284785
