Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
0,2013,12,4,0,0,1.22864,1.22965,1.22547,1.22583,52054,23.73507152,-0.00086087,-0.00034838,32.51589464,32.51589464
1,2013,12,5,0,0,1.22583,1.22809,1.22487,1.2255,52608,22.84845318,-0.0011714,-0.0004461,49.58943235,49.58943235
2,2013,12,6,0,0,1.22552,1.22602,1.22136,1.22216,44791,15.85499937,-0.00166778,-0.00058982,63.19261214,63.19261214
3,2013,12,8,0,0,1.22245,1.2232,1.22215,1.22304,1704,23.09094625,-0.00196748,-0.00078105,78.03121248,78.03121248
4,2013,12,9,0,0,1.22305,1.22431,1.22214,1.22279,34827,22.45105248,-0.0021998,-0.00100591,74.73363775,74.73363775
5,2013,12,10,0,0,1.2228,1.22374,1.22055,1.22102,40898,18.26922333,-0.00249795,-0.00126148,78.1201849,78.1201849
6,2013,12,11,0,0,1.22101,1.22262,1.22039,1.22245,39851,30.4753519,-0.002589,-0.00152506,72.33115468,72.33115468
7,2013,12,12,0,0,1.22245,1.22457,1.21987,1.22337,46707,37.48324286,-0.00255745,-0.00177748,65.02107164,65.02107164
8,2013,12,13,0,0,1.22337,1.22393,1.22102,1.22159,37798,30.53564596,-0.00264557,-0.00201748,49.87745098,49.87745098
9,2013,12,15,0,0,1.22195,1.22285,1.22132,1.22284,1285,39.69358537,-0.00258475,-0.00220902,37.47609943,37.47609943
10,2013,12,16,0,0,1.22282,1.22309,1.22004,1.22075,35203,31.57378318,-0.00267437,-0.00237602,33.60938578,33.60938578
11,2013,12,17,0,0,1.22075,1.22153,1.21652,1.2184,35735,24.89368706,-0.00290157,-0.00251311,23.02100162,23.02100162
12,2013,12,18,0,0,1.21837,1.22453,1.2179,1.22349,51476,51.05898841,-0.00264047,-0.00258788,44.76908577,44.76908577
13,2013,12,19,0,0,1.22349,1.22728,1.22257,1.22637,43304,60.20958247,-0.00217607,-0.00258524,70.54125998,70.54125998
14,2013,12,20,0,0,1.22636,1.22667,1.22319,1.22468,40631,53.37718643,-0.00192224,-0.00252128,92.39940387,92.39940387
15,2013,12,22,0,0,1.22481,1.22533,1.22443,1.22474,1294,53.59529902,-0.00169668,-0.00242213,82.82566429,82.82566429
16,2013,12,23,0,0,1.22473,1.22617,1.22329,1.22385,29726,49.58122779,-0.00157161,-0.00231259,72.63556116,72.63556116
17,2013,12,24,0,0,1.22384,1.22575,1.22354,1.22538,18183,56.16569601,-0.00133367,-0.00216683,64.17910448,64.17910448
18,2013,12,26,0,0,1.22612,1.22733,1.22584,1.22721,22002,62.92255279,-0.00098607,-0.00198919,54.40126883,54.40126883
19,2013,12,27,0,0,1.22722,1.22767,1.22234,1.22515,36917,52.32911524,-0.00086682,-0.00178835,30.32207384,30.32207384
20,2013,12,29,0,0,1.22492,1.22568,1.22452,1.2256,1687,54.29035421,-0.00072762,-0.0015468,17.72068511,17.72068511
21,2013,12,30,0,0,1.22561,1.22688,1.22394,1.22502,30537,51.12739742,-0.00065653,-0.00132637,9.52380952,9.52380952
22,2013,12,31,0,0,1.225,1.22755,1.22439,1.22613,18613,56.75299194,-0.00050481,-0.00114067,15.94296824,15.94296824
23,2014,1,2,0,0,1.22777,1.23191,1.22655,1.22869,52417,66.97991381,-0.00017597,-0.00094664,28.14417178,28.14417178
