Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
0,2013,12,4,0,0,1.98899,2.00493,1.98728,1.99486,74494,59.49315078,0.01770227,0.01606958,32.51589464,32.51589464
1,2013,12,5,0,0,1.99487,2.00525,1.98397,1.98683,76573,51.97401364,0.01646859,0.01678167,49.58943235,49.58943235
2,2013,12,6,0,0,1.98672,2.00283,1.96944,1.97194,67092,40.81457686,0.01412655,0.01709045,63.19261214,63.19261214
3,2013,12,8,0,0,1.97139,1.97201,1.96915,1.96965,3741,39.30052098,0.01194795,0.01689591,78.03121248,78.03121248
4,2013,12,9,0,0,1.96966,1.98607,1.96303,1.98345,55241,51.85659347,0.01120577,0.01628344,74.73363775,74.73363775
5,2013,12,10,0,0,1.98345,1.98798,1.97238,1.98054,56269,49.34542177,0.01026445,0.01538357,78.1201849,78.1201849
6,2013,12,11,0,0,1.98045,1.99446,1.97653,1.97889,65133,47.81375934,0.00927835,0.01426357,72.33115468,72.33115468
7,2013,12,12,0,0,1.97889,1.99432,1.97079,1.9879,67738,56.42956223,0.00911878,0.01314606,65.02107164,65.02107164
8,2013,12,13,0,0,1.9879,1.98876,1.9681,1.97015,50407,40.90714719,0.00747388,0.01195407,49.87745098,49.87745098
9,2013,12,15,0,0,1.97065,1.97319,1.9692,1.97246,1724,43.27621884,0.00628425,0.0106854,37.47609943,37.47609943
10,2013,12,16,0,0,1.97252,1.97966,1.96674,1.97196,52391,42.84248559,0.0052407,0.00943785,33.60938578,33.60938578
11,2013,12,17,0,0,1.97203,1.9743,1.96379,1.96584,53803,37.47854095,0.00387517,0.00829881,23.02100162,23.02100162
12,2013,12,18,0,0,1.96584,2.00244,1.9641,1.99591,67139,63.60148389,0.0051599,0.00754458,44.76908577,44.76908577
13,2013,12,19,0,0,1.99599,2.00686,1.99239,1.99683,57351,64.13635436,0.00618105,0.00698628,70.54125998,70.54125998
14,2013,12,20,0,0,1.99669,2.00419,1.98668,1.98853,54018,55.54525123,0.00624854,0.00654007,92.39940387,92.39940387
15,2013,12,22,0,0,1.98947,1.99095,1.98754,1.98844,2331,55.45128594,0.00622303,0.00620059,82.82566429,82.82566429
16,2013,12,23,0,0,1.98805,1.99774,1.98798,1.99439,43573,60.59307597,0.00660677,0.00592148,72.63556116,72.63556116
17,2013,12,24,0,0,1.99444,2.00214,1.99357,1.99928,26645,64.5195845,0.00722222,0.00589351,64.17910448,64.17910448
18,2013,12,26,0,0,2.0043,2.01507,2.00262,2.01145,23255,72.48106933,0.00859292,0.00615003,54.40126883,54.40126883
19,2013,12,27,0,0,2.01127,2.02757,2.00849,2.01767,38187,75.72855738,0.0100651,0.00668608,30.32207384,30.32207384
20,2013,12,29,0,0,2.01835,2.02403,2.01711,2.02139,1889,77.57504709,0.01140056,0.00752223,17.72068511,17.72068511
21,2013,12,30,0,0,2.02071,2.02917,2.00596,2.00687,33393,57.61514431,0.01115865,0.00818876,9.52380952,9.52380952
22,2013,12,31,0,0,2.00687,2.01545,2.00323,2.01113,21724,61.04582398,0.01118179,0.0087444,15.94296824,15.94296824
23,2014,1,2,0,0,2.01768,2.03106,1.99581,2.00896,41700,58.24414323,0.01089938,0.00926116,28.14417178,28.14417178
24,2014,1,3,0,0,2.00896,2.01021,1.97429,1.983,43682,35.50277057,0.00848303,0.00951227,42.95190713,42.95190713
25,2014,1,5,0,0,1.98127,1.98619,1.98121,1.98497,3393,37.65780796,0.00665036,0.00951711,37.81942078,37.81942078
26,2014,1,6,0,0,1.98497,1.9865,1.97549,1.97981,49638,34.16900569,0.00472709,0.00923988,24.24698795,24.24698795
27,2014,1,7,0,0,1.9798,1.98565,1.97636,1.98031,49082,34.85133485,0.00320627,0.00864136,10.10174419,10.10174419
28,2014,1,8,0,0,1.98029,1.99247,1.97546,1.99019,51613,47.41599883,0.00276636,0.00783039,9.49284785,9.49284785
29,2014,1,9,0,0,1.99019,1.99934,1.98858,1.99805,48612,55.39956365,0.00301718,0.0068989,13.18391562,13.18391562
30,2014,1,10,0,0,1.99805,2.00243,1.98234,1.98429,47378,42.28688084,0.00208164,0.00589034,13.46906813,13.46906813
31,2014,1,12,0,0,1.98642,1.98953,1.98205,1.98626,1802,44.48178367,0.0014821,0.0048126,30.23504274,30.23504274
32,2014,1,13,0,0,1.98632,1.9901,1.95161,1.95645,50352,26.61343978,-0.00138252,0.00344794,45.85492228,45.85492228
33,2014,1,14,0,0,1.95651,1.96528,1.94521,1.9638,50218,34.21497489,-0.0030248,0.0021693,69.94949495,69.94949495
34,2014,1,15,0,0,1.9638,1.96954,1.95336,1.96331,49763,33.94152881,-0.00431611,0.0009508,82.8009828,82.8009828
35,2014,1,16,0,0,1.96337,1.96985,1.95581,1.95808,54530,30.86942159,-0.00569584,-0.0002073,88.32951945,88.32951945
36,2014,1,17,0,0,1.95808,1.9928,1.95577,1.98634,45166,55.98425437,-0.00445755,-0.00105884,89.75552969,89.75552969
37,2014,1,19,0,0,1.98716,1.98951,1.98444,1.98885,2080,57.58111744,-0.00323636,-0.00172581,54.89667565,54.89667565
38,2014,1,20,0,0,1.98886,2.00077,1.96962,1.97568,42540,47.11712849,-0.0032933,-0.00242697,29.2877907,29.2877907
39,2014,1,21,0,0,1.97568,1.98337,1.96778,1.98177,44056,51.8387705,-0.00281457,-0.00297099,17.67794632,17.67794632
40,2014,1,22,0,0,1.98177,1.99775,1.97493,1.99396,46765,60.14800946,-0.001435,-0.00329512,17.43589744,17.43589744
41,2014,1,23,0,0,1.99389,2.00821,1.99081,2.00714,57438,67.2708996,0.00071361,-0.00306221,18.97435897,18.97435897
42,2014,1,24,0,0,2.00714,2.02114,1.99455,2.00082,54171,61.15594334,0.0018847,-0.00251671,22.00147167,22.00147167
43,2014,1,26,0,0,2.00218,2.00316,1.99833,2.003,2028,62.52674232,0.00295465,-0.00170885,18.44380403,18.44380403
44,2014,1,27,0,0,2.00306,2.01745,1.99869,2.01527,48092,69.57675092,0.00473806,-0.00054953,36.51354535,36.51354535
45,2014,1,28,0,0,2.01535,2.01631,1.99491,2.004,47452,57.90333593,0.00518229,0.00052156,41.88034188,41.88034188
46,2014,1,29,0,0,2.00408,2.02444,1.9961,2.01665,51773,65.48629572,0.00648039,0.0016012,59.15492958,59.15492958
47,2014,1,30,0,0,2.01686,2.02857,2.01297,2.01634,55152,65.15076788,0.00739885,0.00278922,71.16071429,71.16071429
48,2014,1,31,0,0,2.01629,2.04322,2.01554,2.03161,53227,73.07783108,0.00925223,0.00412997,75.96830986,75.96830986
49,2014,2,2,0,0,2.02571,2.02982,2.02488,2.02832,2078,69.12543349,0.01033643,0.00543791,59.66697502,59.66697502
50,2014,2,3,0,0,2.02846,2.02943,2.00781,2.02016,53831,59.77120379,0.01041714,0.00651608,50.05065856,50.05065856
51,2014,2,4,0,0,2.02016,2.02508,1.9761,1.98551,56808,35.78270072,0.00759755,0.00715084,41.46341463,41.46341463
52,2014,2,5,0,0,1.98551,1.99335,1.97543,1.98416,51187,35.14162358,0.0051942,0.00739968,56.6548881,56.6548881
53,2014,2,6,0,0,1.98441,1.98544,1.97095,1.97936,48347,32.7106481,0.00286914,0.00719202,45.7008245,45.7008245
