Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
0,2013,12,6,0,0,0.87509,0.88404,0.86725,0.88048,62981,73.34546688,0.00255606,0.00032537,32.51589464,32.51589464
1,2013,12,8,0,0,0.88211,0.88361,0.88191,0.88297,2585,76.2527792,0.00329568,0.00074997,49.58943235,49.58943235
2,2013,12,9,0,0,0.88293,0.88633,0.87872,0.88052,31280,67.76768297,0.00364216,0.00126562,63.19261214,63.19261214
3,2013,12,10,0,0,0.88055,0.88515,0.87923,0.88117,43502,68.84088209,0.00392396,0.00182796,78.03121248,78.03121248
4,2013,12,11,0,0,0.88116,0.88134,0.87053,0.87647,55750,53.74500954,0.0037251,0.00233075,74.73363775,74.73363775
5,2013,12,12,0,0,0.87642,0.88004,0.8718,0.87472,65317,49.07066503,0.00338725,0.00272382,78.1201849,78.1201849
6,2013,12,13,0,0,0.87469,0.87896,0.87397,0.87431,35196,47.93121929,0.00305124,0.00298107,72.33115468,72.33115468
7,2013,12,15,0,0,0.87504,0.87614,0.87475,0.8748,983,49.56415839,0.0027923,0.00313357,65.02107164,65.02107164
8,2013,12,16,0,0,0.87485,0.87696,0.87278,0.87528,31634,51.30929951,0.0025959,0.00321885,49.87745098,49.87745098
9,2013,12,17,0,0,0.87527,0.87821,0.87361,0.87738,36766,58.61782033,0.00257996,0.00322151,37.47609943,37.47609943
10,2013,12,18,0,0,0.8775,0.88342,0.8734,0.87952,73427,64.88432974,0.00270878,0.00315629,33.60938578,33.60938578
11,2013,12,19,0,0,0.87963,0.88065,0.87144,0.87452,48123,45.92680632,0.00237998,0.00301605,23.02100162,23.02100162
12,2013,12,20,0,0,0.87455,0.87779,0.87015,0.87118,51194,37.40878643,0.00182882,0.00278326,44.76908577,44.76908577
13,2013,12,22,0,0,0.8732,0.87404,0.87279,0.87376,1815,46.37235877,0.00158196,0.00254513,70.54125998,70.54125998
14,2013,12,23,0,0,0.87377,0.87446,0.86795,0.87005,36324,37.38943604,0.00107457,0.00228817,92.39940387,92.39940387
15,2013,12,24,0,0,0.87003,0.87059,0.86706,0.86933,24855,35.81845584,0.00060737,0.00201663,82.82566429,82.82566429
