Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
0,2013,12,8,0,0,0.73895,0.73997,0.7384,0.7394,3167,42.41794806,-0.00447105,-0.00454314,32.51589464,32.51589464
1,2013,12,9,0,0,0.73935,0.74258,0.73573,0.73686,39539,37.20939269,-0.00453186,-0.00457527,49.58943235,49.58943235
2,2013,12,10,0,0,0.73685,0.73905,0.73577,0.73701,45253,37.73614682,-0.0045159,-0.0045367,63.19261214,63.19261214
3,2013,12,11,0,0,0.737,0.73745,0.727,0.73363,51702,30.91760708,-0.00472156,-0.0045092,78.03121248,78.03121248
4,2013,12,12,0,0,0.73363,0.73796,0.72803,0.73098,63442,26.53243279,-0.00504028,-0.00455406,74.73363775,74.73363775
5,2013,12,13,0,0,0.73094,0.73641,0.73051,0.73463,42140,40.16889695,-0.00494138,-0.00462648,78.1201849,78.1201849
6,2013,12,15,0,0,0.73562,0.73606,0.73465,0.73537,1305,42.68517557,-0.00474855,-0.00467774,72.33115468,72.33115468
7,2013,12,16,0,0,0.73531,0.73628,0.72986,0.73292,35832,36.72009081,-0.00473881,-0.0046996,65.02107164,65.02107164
8,2013,12,17,0,0,0.73297,0.73523,0.72904,0.73222,36645,35.08572688,-0.004733,-0.00471582,49.87745098,49.87745098
9,2013,12,18,0,0,0.73233,0.73826,0.72625,0.73392,71370,42.35519846,-0.00453891,-0.00472336,37.47609943,37.47609943
10,2013,12,19,0,0,0.73389,0.73634,0.73022,0.73592,35188,50.03509815,-0.00417557,-0.00468377,33.60938578,33.60938578
11,2013,12,20,0,0,0.73594,0.73842,0.7313,0.73361,46810,42.41971261,-0.00402759,-0.00462952,23.02100162,23.02100162
12,2013,12,22,0,0,0.73518,0.73591,0.73456,0.73522,2136,48.76101343,-0.00373732,-0.00452016,44.76908577,44.76908577
13,2013,12,23,0,0,0.73522,0.73593,0.73079,0.7323,32660,39.5457439,-0.00370025,-0.00437127,70.54125998,70.54125998
14,2013,12,24,0,0,0.7323,0.73458,0.73093,0.7335,24359,44.56844745,-0.00353331,-0.00421481,92.39940387,92.39940387
15,2013,12,26,0,0,0.73175,0.73266,0.7299,0.73101,18651,37.1054505,-0.00356088,-0.00408285,82.82566429,82.82566429
16,2013,12,27,0,0,0.73107,0.73213,0.71917,0.72582,42553,26.36841158,-0.00395592,-0.00399586,72.63556116,72.63556116
17,2013,12,29,0,0,0.7267,0.72716,0.72489,0.72645,2141,29.2670149,-0.00417008,-0.00393332,64.17910448,64.17910448
18,2013,12,30,0,0,0.7265,0.72928,0.72427,0.72872,39653,39.31021893,-0.00410927,-0.00388558,54.40126883,54.40126883
19,2013,12,31,0,0,0.72873,0.73431,0.72795,0.73193,25353,50.82854402,-0.00375873,-0.00383926,30.32207384,30.32207384
20,2014,1,1,0,0,0.73089,0.73319,0.72824,0.73133,2060,48.80849377,-0.00348912,-0.00377943,17.72068511,17.72068511
21,2014,1,2,0,0,0.73133,0.74186,0.73114,0.73605,65239,62.49011989,-0.0028616,-0.00368213,9.52380952,9.52380952
22,2014,1,3,0,0,0.73606,0.75158,0.73578,0.74826,42023,79.23735129,-0.00136332,-0.00342247,15.94296824,15.94296824
23,2014,1,5,0,0,0.74865,0.74896,0.74682,0.74824,4176,79.16980243,-0.00017552,-0.00304938,28.14417178,28.14417178
24,2014,1,6,0,0,0.74827,0.75101,0.74635,0.74904,51191,79.96677915,0.00082091,-0.00256252,42.95190713,42.95190713
25,2014,1,7,0,0,0.74897,0.75391,0.74728,0.75283,44614,83.46370533,0.00189458,-0.00191246,37.81942078,37.81942078
26,2014,1,8,0,0,0.75286,0.75694,0.75138,0.75295,49882,83.56964811,0.00272375,-0.00114648,24.24698795,24.24698795
27,2014,1,9,0,0,0.75295,0.75381,0.7471,0.74759,37369,62.65252023,0.00291476,-0.00036603,10.10174419,10.10174419
28,2014,1,10,0,0,0.74767,0.75007,0.74228,0.74879,31487,64.94431232,0.00312693,0.00039904,9.49284785,9.49284785
29,2014,1,12,0,0,0.74755,0.74923,0.74706,0.74894,2129,65.25524045,0.00326949,0.00115,13.18391562,13.18391562
30,2014,1,13,0,0,0.749,0.75783,0.74749,0.75315,45433,73.07502059,0.00367976,0.00187682,13.46906813,13.46906813
31,2014,1,14,0,0,0.7532,0.76004,0.7525,0.7555,54578,76.51688318,0.00414673,0.00248904,30.23504274,30.23504274
32,2014,1,15,0,0,0.7555,0.75987,0.75464,0.75738,53195,79.01999634,0.0046153,0.00302136,45.85492228,45.85492228
33,2014,1,16,0,0,0.75724,0.75845,0.75146,0.75537,54586,69.74671379,0.00476948,0.00346009,69.94949495,69.94949495
34,2014,1,17,0,0,0.75541,0.75646,0.74839,0.75048,43798,52.31974969,0.00444584,0.00374356,82.8009828,82.8009828
35,2014,1,19,0,0,0.75101,0.75302,0.751,0.75218,2213,56.7070927,0.00427722,0.00391617,88.32951945,88.32951945
36,2014,1,20,0,0,0.75218,0.75893,0.7474,0.75725,36544,67.20635126,0.00450081,0.0040924,89.75552969,89.75552969
37,2014,1,21,0,0,0.75733,0.76021,0.75495,0.75684,46343,65.70303621,0.00459199,0.00425518,54.89667565,54.89667565
38,2014,1,22,0,0,0.75676,0.75994,0.75533,0.75753,45470,67.14595077,0.00466614,0.00441037,29.2877907,29.2877907
39,2014,1,23,0,0,0.75763,0.75763,0.7425,0.74397,67476,34.17811509,0.00358935,0.00440032,17.67794632,17.67794632
40,2014,1,24,0,0,0.74397,0.74525,0.7325,0.73445,62588,24.37539954,0.00194538,0.00415573,17.43589744,17.43589744
41,2014,1,26,0,0,0.73605,0.7368,0.73491,0.73576,2267,27.70423469,0.0007397,0.0037251,18.97435897,18.97435897
42,2014,1,27,0,0,0.73574,0.74157,0.73309,0.73703,47671,31.13286325,-0.00011204,0.00318271,22.00147167,22.00147167
43,2014,1,28,0,0,0.7371,0.74601,0.73652,0.74354,51653,46.34913795,-0.00025877,0.00265998,18.44380403,18.44380403
44,2014,1,29,0,0,0.74356,0.74645,0.73152,0.73454,69895,34.17138405,-0.00108872,0.00206376,36.51354535,36.51354535
45,2014,1,30,0,0,0.73457,0.73838,0.7315,0.73828,65559,41.60920627,-0.00142822,0.00140498,41.88034188,41.88034188
46,2014,1,31,0,0,0.73835,0.73865,0.72942,0.73191,62207,33.98014767,-0.00218608,0.00065186,59.15492958,59.15492958
47,2014,2,2,0,0,0.7343,0.735,0.73336,0.7344,2062,39.07448212,-0.0025563,-0.00015063,71.16071429,71.16071429
48,2014,2,3,0,0,0.73437,0.73704,0.7272,0.72755,61949,31.31828424,-0.00336366,-0.00092319,75.96830986,75.96830986
49,2014,2,4,0,0,0.72752,0.74625,0.72615,0.74337,56790,55.25134822,-0.00269588,-0.00143889,59.66697502,59.66697502
50,2014,2,5,0,0,0.74335,0.74508,0.73865,0.7434,47084,55.28582003,-0.00213958,-0.00175881,50.05065856,50.05065856
51,2014,2,6,0,0,0.7434,0.74685,0.73794,0.74245,45118,53.75593222,-0.00175513,-0.00194137,41.46341463,41.46341463
52,2014,2,7,0,0,0.74248,0.74715,0.73921,0.7441,47836,56.21129174,-0.0013023,-0.00205732,56.6548881,56.6548881
53,2014,2,9,0,0,0.7442,0.7447,0.74335,0.74421,1785,56.39138063,-0.0009239,-0.00203901,45.7008245,45.7008245
54,2014,2,10,0,0,0.7444,0.74497,0.74007,0.74135,29311,50.13675711,-0.00084506,-0.00197421,40.42553191,40.42553191
55,2014,2,11,0,0,0.7413,0.74889,0.74081,0.74636,35891,59.3509505,-0.000374,-0.00177287,30.55859803,30.55859803
56,2014,2,12,0,0,0.74638,0.75356,0.74584,0.74913,25478,63.68016856,0.0002203,-0.00146436,32.69809428,32.69809428
57,2014,2,13,0,0,0.74908,0.75033,0.74304,0.74547,24797,54.69982221,0.00039144,-0.00104712,35.51660517,35.51660517
58,2014,2,14,0,0,0.74541,0.74847,0.74327,0.74437,22464,52.12247855,0.00043332,-0.00069944,36.96639419,36.96639419
59,2014,2,16,0,0,0.74515,0.7469,0.74495,0.74652,505,56.76751552,0.0006327,-0.0003914,25.61307902,25.61307902
60,2014,2,17,0,0,0.74662,0.7472,0.74456,0.74569,13976,54.39084099,0.00071548,-0.00011689,16.79389313,16.79389313
61,2014,2,18,0,0,0.74566,0.74777,0.73655,0.73688,27735,35.81976233,0.0000694,0.00003552,10.66838046,10.66838046
62,2014,2,19,0,0,0.7372,0.74134,0.73417,0.73541,32621,33.58734566,-0.00055484,0.00007653,38.17365269,38.17365269
63,2014,2,20,0,0,0.73534,0.7395,0.73125,0.73844,37068,42.24350893,-0.00079589,0.00008199,55.078125,55.078125
64,2014,2,21,0,0,0.73848,0.7398,0.7335,0.73507,26961,36.13257515,-0.00124451,-0.00001473,68.16524909,68.16524909
65,2014,2,23,0,0,0.73505,0.73526,0.7338,0.7346,820,35.30165852,-0.0016193,-0.00021913,62.30859835,62.30859835
66,2014,2,24,0,0,0.73465,0.74141,0.73312,0.7404,31791,51.39416987,-0.00143181,-0.00042172,65.75682382,65.75682382
67,2014,2,25,0,0,0.7404,0.74151,0.73715,0.73869,29748,47.34367962,-0.00140501,-0.00062598,66.42958748,66.42958748
68,2014,2,26,0,0,0.73867,0.74159,0.7369,0.74004,37434,50.90732806,-0.00126031,-0.00083631,64.64497041,64.64497041
69,2014,2,27,0,0,0.74001,0.74573,0.73868,0.74312,42565,58.40094587,-0.00088688,-0.00101435,36.02649007,36.02649007
70,2014,2,28,0,0,0.74351,0.74727,0.73639,0.73694,39642,43.02660521,-0.00107719,-0.00114175,28.74720358,28.74720358
71,2014,3,2,0,0,0.73605,0.73658,0.73386,0.73546,2141,40.07872049,-0.00133208,-0.00122811,32.07941484,32.07941484
72,2014,3,3,0,0,0.73543,0.73936,0.73362,0.73826,34366,47.94987279,-0.00129324,-0.00128337,35.42319749,35.42319749
73,2014,3,4,0,0,0.73823,0.74519,0.73805,0.74442,31512,61.07391085,-0.00075667,-0.00122917,23.94618834,23.94618834
74,2014,3,5,0,0,0.74429,0.74866,0.74295,0.74654,30521,64.65245874,-0.00015855,-0.00106686,26.96629213,26.96629213
75,2014,3,6,0,0,0.74653,0.75285,0.74528,0.74587,41431,62.53282964,0.00025843,-0.00087906,52.82758621,52.82758621
76,2014,3,7,0,0,0.74584,0.74755,0.7412,0.74174,32617,50.60213551,0.00025272,-0.00069486,78.20855615,78.20855615
77,2014,3,9,0,0,0.7414,0.74428,0.7414,0.74361,3016,55.12487569,0.00039454,-0.00051099,77.56532823,77.56532823
78,2014,3,10,0,0,0.74365,0.74405,0.74061,0.7433,31738,54.16572921,0.00047642,-0.00035951,52.33160622,52.33160622
79,2014,3,11,0,0,0.74336,0.74771,0.74177,0.74207,36456,50.12825202,0.00043703,-0.00019127,20.73236403,20.73236403
80,2014,3,12,0,0,0.74203,0.74506,0.7372,0.74502,47676,58.73486792,0.00063651,0.00002746,19.63800905,19.63800905
81,2014,3,13,0,0,0.74502,0.75016,0.74502,0.74697,59642,63.58168927,0.0009411,0.00027572,33.66064415,33.66064415
82,2014,3,14,0,0,0.74706,0.7488,0.74352,0.7438,36291,51.99832819,0.00091614,0.00046159,54.19783874,54.19783874
83,2014,3,16,0,0,0.74365,0.74485,0.7435,0.74467,1600,54.64404656,0.00095555,0.00058538,69.2722372,69.2722372
84,2014,3,17,0,0,0.7447,0.75136,0.74437,0.74775,31498,63.05462054,0.00122123,0.00069236,77.49042146,77.49042146
85,2014,3,18,0,0,0.74775,0.75655,0.74553,0.75301,46536,73.022032,0.00183507,0.00086817,72.88676236,72.88676236
86,2014,3,19,0,0,0.75302,0.75552,0.75103,0.75245,52077,70.65441931,0.00225041,0.00107438,58.13528336,58.13528336
87,2014,3,20,0,0,0.75238,0.75602,0.75071,0.75372,43975,72.9729747,0.00265148,0.00131606,49.17915774,49.17915774
88,2014,3,21,0,0,0.75368,0.75684,0.75261,0.7529,32940,68.87389526,0.00287009,0.0015864,54.16666667,54.16666667
89,2014,3,23,0,0,0.7537,0.75475,0.75267,0.7535,2073,70.29816345,0.00305651,0.00185529,59.35672515,59.35672515
90,2014,3,24,0,0,0.75352,0.75708,0.75074,0.75257,40660,64.92582955,0.00309356,0.00209445,62.55850234,62.55850234
91,2014,3,25,0,0,0.75269,0.75947,0.7525,0.75694,45327,75.28163759,0.00343593,0.00237442,72.22222222,72.22222222
92,2014,3,26,0,0,0.75691,0.76393,0.75691,0.7612,50162,81.49536351,0.00400484,0.00271323,84.48753463,84.48753463
93,2014,3,27,0,0,0.7612,0.76968,0.7602,0.76827,44633,87.55347365,0.00496892,0.00312964,71.75043328,71.75043328
94,2014,3,28,0,0,0.76815,0.77352,0.76698,0.76824,34794,87.41180449,0.00566523,0.00355522,54.68622657,54.68622657
95,2014,3,30,0,0,0.76708,0.76878,0.76584,0.76843,2512,87.56052915,0.00616137,0.00398977,34.77508651,34.77508651
96,2014,3,31,0,0,0.76842,0.7695,0.7634,0.76729,35376,80.87221188,0.00638893,0.00440504,31.42857143,31.42857143
97,2014,4,1,0,0,0.76731,0.7683,0.76088,0.76103,28075,54.30012804,0.00599503,0.00475226,39.35185185,39.35185185
98,2014,4,2,0,0,0.76112,0.76166,0.75674,0.75981,30994,50.52554013,0.00552078,0.00502606,54.79452055,54.79452055
99,2014,4,3,0,0,0.75992,0.76192,0.75424,0.76112,38316,54.48873857,0.00519081,0.00525909,73.28605201,73.28605201
100,2014,4,4,0,0,0.76114,0.76915,0.76114,0.76695,37159,67.85744098,0.0053382,0.00547046,82.74336283,82.74336283
101,2014,4,6,0,0,0.76584,0.76685,0.76527,0.76668,1661,66.79728157,0.0053713,0.00562228,85.53829673,85.53829673
