Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
0,2013,12,4,0,0,1.0639,1.0706,1.06371,1.06776,22688,85.97513799,0.00589136,0.00446527,32.51589464,32.51589464
1,2013,12,5,0,0,1.06777,1.06976,1.06239,1.06467,20927,69.26162897,0.00589947,0.00478431,49.58943235,49.58943235
2,2013,12,6,0,0,1.06471,1.07062,1.06211,1.06377,19390,64.96984912,0.00576679,0.00506492,63.19261214,63.19261214
3,2013,12,8,0,0,1.06451,1.06542,1.064,1.06539,1014,69.00332233,0.00572636,0.00528308,78.03121248,78.03121248
4,2013,12,9,0,0,1.0654,1.06686,1.06242,1.06354,15390,59.82573153,0.00548184,0.0054366,74.73363775,74.73363775
5,2013,12,10,0,0,1.06355,1.06441,1.05998,1.06046,15534,47.54353739,0.0049821,0.00548695,78.1201849,78.1201849
6,2013,12,11,0,0,1.06047,1.06184,1.05835,1.05916,15555,43.17843657,0.00443009,0.00543639,72.33115468,72.33115468
7,2013,12,12,0,0,1.05915,1.06549,1.05598,1.06428,19531,60.03737415,0.00435554,0.00533492,65.02107164,65.02107164
8,2013,12,13,0,0,1.06429,1.06677,1.05801,1.05841,13422,42.98038833,0.00377924,0.00514587,49.87745098,49.87745098
9,2013,12,15,0,0,1.05937,1.05937,1.05848,1.05879,895,44.17816808,0.00331497,0.0048596,37.47609943,37.47609943
10,2013,12,16,0,0,1.05886,1.05952,1.05712,1.05918,13961,45.54777563,0.00294456,0.00453128,33.60938578,33.60938578
11,2013,12,17,0,0,1.05917,1.06167,1.0575,1.06024,15539,49.47836352,0.00270535,0.00419112,23.02100162,23.02100162
12,2013,12,18,0,0,1.06023,1.07182,1.06002,1.07163,20662,73.4782362,0.00339571,0.00393216,44.76908577,44.76908577
13,2013,12,19,0,0,1.07162,1.07265,1.06596,1.0672,17198,60.44829698,0.00354451,0.0037169,70.54125998,70.54125998
