Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
0,2013,12,4,0,0,0.90402,0.90752,0.90124,0.90234,36210,33.54499678,-0.00162023,-0.00066,32.51589464,32.51589464
1,2013,12,5,0,0,0.90233,0.90483,0.89559,0.89655,35504,24.39961093,-0.00235006,-0.00097084,49.58943235,49.58943235
2,2013,12,6,0,0,0.89656,0.8983,0.89116,0.89176,29664,19.31671432,-0.00327718,-0.00133716,63.19261214,63.19261214
3,2013,12,8,0,0,0.89175,0.89237,0.89089,0.89222,2201,21.15689804,-0.00392952,-0.00175073,78.03121248,78.03121248
4,2013,12,9,0,0,0.89221,0.89333,0.88946,0.89014,23866,18.88472891,-0.00456176,-0.00219494,74.73363775,74.73363775
5,2013,12,10,0,0,0.89016,0.89061,0.88496,0.88712,27164,15.97801728,-0.00524602,-0.00268618,78.1201849,78.1201849
6,2013,12,11,0,0,0.88711,0.88853,0.88389,0.88679,27288,15.67052895,-0.00574867,-0.003214,72.33115468,72.33115468
7,2013,12,12,0,0,0.88678,0.89082,0.88472,0.8898,33372,30.00473811,-0.00583686,-0.00375833,65.02107164,65.02107164
8,2013,12,13,0,0,0.88972,0.89163,0.88804,0.88933,27196,29.10354391,-0.00587693,-0.00427191,49.87745098,49.87745098
9,2013,12,15,0,0,0.89043,0.8906,0.88896,0.89023,2847,33.56153868,-0.00576955,-0.00473295,37.47609943,37.47609943
10,2013,12,16,0,0,0.8902,0.8902,0.88454,0.88712,30771,26.77424139,-0.00586777,-0.00512381,33.60938578,33.60938578
11,2013,12,17,0,0,0.8871,0.88939,0.88316,0.88487,30099,22.87035759,-0.00605733,-0.00543271,23.02100162,23.02100162
12,2013,12,18,0,0,0.88486,0.89586,0.88392,0.89427,36406,54.91277784,-0.00538697,-0.00559465,44.76908577,44.76908577
13,2013,12,19,0,0,0.89429,0.89868,0.89341,0.89812,33890,62.38062235,-0.00449324,-0.00558704,70.54125998,70.54125998
14,2013,12,20,0,0,0.89811,0.90001,0.8931,0.89605,37574,56.50951804,-0.00390695,-0.00543825,92.39940387,92.39940387
15,2013,12,22,0,0,0.89577,0.8964,0.89534,0.8955,2057,54.907595,-0.00344695,-0.00518251,82.82566429,82.82566429
16,2013,12,23,0,0,0.89551,0.89661,0.89221,0.89358,24943,49.22447922,-0.00320044,-0.00488957,72.63556116,72.63556116
17,2013,12,24,0,0,0.89357,0.89712,0.89352,0.89619,16002,56.38402875,-0.00276263,-0.00454354,64.17910448,64.17910448
18,2013,12,26,0,0,0.89656,0.89674,0.89485,0.89618,22468,56.34851308,-0.00238893,-0.00416791,54.40126883,54.40126883
